pH,EC,TDS,Na,K,Ca,Mg,Cl,HCO3,SO4,NO3,F,Ag ,B ,Cd ,Co,Cr ,Cu ,Fe ,Mn ,Pb ,Zn ,Y
6.12,253,161.92000000000002,12.1807,2.0,22.0,7.83888,22.0,89.67,3.95,2.0,0.173,0.001578,0.037612,0.004035,0.003035,0.003363,0.002772,0.029466,0.000944,0.015547,0.001551,0
5.83,828,529.92,62.0259,5.0,72.0,23.0,36.0,399.0,6.69,3.0,0.275,0.00101,0.062478,0.003196,0.006373,0.003127,0.0,0.024645,0.0008,0.016118,0.001209,0
5.94,975,624.0,89.5817,3.66254,82.0,27.0,66.22059999999999,476.0,12.0,2.0,0.334,0.00444,0.078676,0.004125,0.004615,0.004192,0.00111,0.022768,0.001232,0.014121,0.002003,0
5.94,773,494.72,45.5573,2.0,74.0,29.0,99.33090000000001,288.225,14.9,12.0,0.203,0.00231,0.040045,0.003331,0.005476,0.00337,0.003724,0.024781,0.001279,0.01628,0.020944,0
6.05,596,381.44,29.0,3.0,48.0644,22.0,54.0,245.0,7.82,15.0,0.123,0.000424,0.023671,0.002965,0.007938,0.003638,0.0,0.023897,0.001283,0.017633,0.001436,0
6.11,556,355.84000000000003,37.4411,2.0,54.0,14.0,30.0,249.0,15.5,18.0,0.307,0.0,0.033375,0.00305,0.005788,0.003828,0.0,0.026259,0.000835,0.016434,0.025635,0
6.16,555,355.2,34.3184,2.28599,61.0,16.0,39.0,265.0,8.02,20.0,0.272,0.00212,0.025031,0.004005,0.0,0.003903,0.0,0.027372,0.000903,0.014648,0.001391,0
6.13,680,435.2,41.0,2.0,74.0,11.0,74.0,265.0,11.8,11.0,0.29,0.00332,0.03254,0.005474,0.008204,0.004448,0.0,0.035729,0.023712,0.023088,0.002691,0
6.45,520,332.8,30.0,5.0,51.0,14.0,38.0,245.0,5.43,6.0,0.15,0.002676,0.021172,0.003108,0.007004,0.003348,0.0,0.024729,0.001402,0.014088,0.0,0
6.4,584,373.76,16.7886,3.0,52.989,16.0,23.0,225.0,5.43,11.0,0.178,0.0,0.017121,0.003956,0.005784,0.003226,0.0,0.024512,0.665712,0.017793,0.090602,1
6.4,171,109.44,15.8372,1.65097,18.0,6.0,29.0,66.0,4.84,3.0,1.59,0.002702,0.013484,0.003536,0.002273,0.004764,0.0,0.026878,0.001059,0.012859,0.000347,0
6.02,267,170.88,23.0,3.3249,22.4126,9.0,31.0,118.0,4.79,13.0,0.281,0.00285,0.008218,0.003828,0.004668,0.004916,0.0,0.025511,0.00088,0.013904,0.005457,0
6.05,90,57.6,5.43735,1.0,12.0,4.0,12.0,41.0,1.82,3.0,0.105,0.002462,0.004976,0.003193,0.004461,0.00327,0.004591,0.025785,0.001131,0.018357,0.016944,0
5.9,136,87.04,14.6649,0.563769,14.0,5.0,17.0,70.0,2.45,0.0,0.148,0.01016,0.010356,0.003091,0.007932,0.005005,0.000967,0.028426,0.001246,0.016794,0.002016,0
5.85,270,172.8,32.0,4.0,22.0,7.0,26.0,118.0,4.59,10.0,0.147,0.003318,0.011753,0.003848,0.005341,0.003689,0.0,0.025698,0.001298,0.01516,0.0,0
5.94,343,219.52,19.0,1.94684,33.0,15.0,32.0,147.0,13.0,6.0,0.172,0.006473,0.005698,0.002874,0.007096,0.003353,0.0,0.025246,0.001299,0.012608,0.0,0
5.9,540,345.6,37.1764,7.0,46.0,22.0,56.0,212.0,10.8,10.0,0.27,0.003862,0.011962,0.003124,0.004958,0.003325,0.0,0.026092,0.000869,0.013714,0.001124,0
6.03,413,264.32,30.0,1.70174,34.0,15.0,20.0,198.0,5.84,14.0,0.26,0.001942,0.020376,0.0039,0.006612,0.003268,0.0,0.025572,0.000823,0.012317,0.001925,0
6.14,530,339.2,35.4794,2.89773,45.0,18.0,42.0,233.0,8.24,28.2,0.27,0.002519,0.040824,0.002522,0.004456,0.003095,0.0,0.024986,0.001182,0.018364,0.001634,0
6.13,739,472.96000000000004,44.7612,8.0,72.0,25.0,99.33090000000001,217.76999999999992,20.7,38.0,0.24,0.002523,0.014481,0.002825,0.005883,0.003842,0.0,0.030522,0.000882,0.015257,0.023435,0
6.27,408,261.12,38.0,3.12764,31.0,9.0,26.0,187.0,7.18,4.0,0.22,0.001651,0.014569,0.003484,0.003504,0.003313,0.0,0.029443,0.001343,0.013713,0.002247,0
6.12,189,120.96000000000001,14.0,1.17648,14.0011,5.0,11.0,81.0,3.63,3.0,0.16,0.001685,0.00891,0.004193,0.005375,0.003786,0.001903,0.027185,0.001065,0.018665,0.001345,0
