EC,TDS,pH,HCO3,Cl,SO4,Ca ,K ,Mg,Na ,NO3,Al,Co,Cu ,Fe ,Mn ,Ni ,Zn ,Y
246.3,177.3,5.08,70.15,27.329,9.881,41.3,5.86,9.49,13.7,1.597,0.406,0.0,0.0671,0.0,0.112,0.0061,0.0,0
1058.0,711.0,6.22,207.40000000000003,145.702,18.918,87.2,8.14,52.6,52.4,16.519,0.72,0.349,0.1004,0.072,0.2805,0.0914,0.0,2
137.0,99.0,6.62,70.15000000000002,12.382,2.155,6.98,5.35,3.31,11.3,6.487,0.0405,0.0,0.0,0.0,0.0042,0.0,0.0,0
1412.0,957.0,6.68,216.5499999999999,226.381,135.851,82.3,6.25,44.8,43.3,3.2,0.6805,0.265,0.153,0.0459,0.2085,0.0739,0.0,2
1254.0,863.0,6.98,341.5999999999998,129.445,68.583,102.0,5.0,107.0,47.2,2.57,0.6815,0.312,0.0508,0.0831,0.244,0.056,0.0,2
178.1,117.3,8.14,64.05000000000001,19.524,1.371,14.8,5.54,5.61,4.74,2.973,3.05,0.0,0.045,5.89,0.0502,0.0,0.0,2
3259.0,2033.0,8.61,365.99999999999994,618.142,89.987,94.9,6.01,78.8,173.0,20.674,0.519,0.0,0.0,0.0,0.1005,0.0,0.0,2
2768.0,1844.0,6.49,213.5000000000005,676.789,54.165,98.3,7.93,91.4,172.0,0.0,1.43,0.893,0.35,0.308,0.2625,0.3565,0.213,2
786.0,523.0,7.24,109.80000000000004,95.25,14.264,31.5,6.77,31.6,72.8,62.19,0.804,0.518,0.2465,0.14,0.114,0.2555,0.1645,2
374.0,259.2,7.99,128.10000000000005,9.247,9.769,24.7,5.49,13.0,66.6,0.0,0.7275,0.456,0.201,0.0707,0.0818,0.132,0.0538,2
126.5,91.6,8.1,48.79999999999999,14.551,12.548,12.4,5.56,8.04,17.1,3.482,0.577,0.236,0.199,0.0342,0.0457,0.15,0.118,1
189.3,128.8,8.9,79.29999999999993,13.991,1.834,16.2,4.74,7.89,17.0,0.586,0.62,0.259,0.1945,0.24,0.1885,0.1335,7.41,1
121.3,90.4,8.64,57.95000000000006,18.922,2.141,4.96,4.67,6.59,16.6,10.121,0.505,0.178,0.169,0.0,0.027,0.0793,1.3,1
105.1,76.0,7.74,60.9999999999999,11.517,2.168,5.09,4.6,7.09,13.1,1.195,0.5015,0.15,0.19,0.0324,0.017,0.1091,0.1185,1
776.0,543.0,7.67,189.10000000000002,91.24,18.299,94.1,4.16,44.6,68.4,1.826,1.31,0.604,0.2735,0.221,0.233,0.2835,0.166,3
141.1,95.0,8.1,61.000000000000036,19.213,1.633,10.3,4.18,6.19,16.5,20.022,0.5415,0.178,0.1565,0.0411,0.0385,0.1105,0.0,1
90.2,63.0,9.42,48.79999999999999,10.746,3.495,5.13,3.14,4.23,10.9,15.408,0.478,0.163,0.1635,0.0162,0.0394,0.0959,0.0593,1
77.1,54.9,9.22,54.90000000000002,28.906,1.025,3.85,3.19,3.49,9.85,26.91,0.473,0.17,0.1735,0.0,0.0184,0.1081,0.0377,1
76.8,53.1,8.85,45.74999999999999,11.576,0.841,2.41,3.07,2.83,10.4,8.993,0.4435,0.173,0.1575,0.0,0.0104,0.057,0.141,0
321.0,227.6,8.55,155.54999999999998,38.883,15.169,56.2,2.88,15.4,32.6,1.905,0.9855,0.387,0.2385,0.103,0.158,0.2085,0.227,2
124.1,91.2,6.91,57.95000000000001,20.154,4.046,11.9,2.67,8.94,13.7,15.211,0.5705,0.242,0.165,0.0064,0.0416,0.095,0.1665,1
229.4,163.2,7.37,88.44999999999996,11.168,1.587,27.3,2.4,13.1,24.8,9.711,0.721,0.245,0.1935,0.0618,0.0916,0.1725,0.1765,1
112.8,79.7,8.13,70.15000000000002,24.233,3.195,13.3,2.09,7.86,9.69,3.921,0.577,0.215,0.1685,0.0153,0.0446,0.1007,0.0561,1
129.7,92.4,8.55,70.15000000000013,16.589,0.982,2.43,1.15,4.56,18.4,6.487,0.4365,0.179,0.1545,0.0718,0.0061,0.0811,0.0582,1
383.0,270.7,7.47,128.1,56.988,4.238,43.7,0.642,34.9,32.1,27.425,0.892,0.33,0.224,0.1185,0.1315,0.185,0.0476,2
182.1,129.5,7.78,96.07500000000007,14.261,2.209,14.1,0.9705,14.4,19.7,2.939,0.574,0.186,0.1755,0.0364,0.1355,0.122,4.46,1
300.0,214.2,7.92,85.3999999999998,25.429,4.838,47.6,1.29,17.8,28.8,14.121,0.9035,0.369,0.227,0.0764,0.142,0.192,0.693,2
182.9,121.8,8.28,91.49999999999999,15.025,1.747,13.2,1.17,14.1,18.9,8.056,0.5765,0.262,0.1945,0.0329,0.0479,0.137,0.2905,1
182.7,131.8,8.52,103.69999999999973,13.928,2.363,16.7,0.9885,12.6,20.5,5.584,0.6145,0.187,0.1885,1.26,0.2455,0.127,1.04,2
130.7,92.2,8.49,103.70000000000016,8.633,1.967,17.2,0.0665,8.16,13.3,4.988,0.6105,0.227,0.1825,0.0444,0.0766,0.155,0.66,1
154.6,109.3,9.11,76.25000000000001,14.912,0.584,11.6,4.71,8.11,17.1,0.61,0.539,0.149,0.19,1.08,0.2355,0.1008,0.842,1
156.9,112.9,8.41,91.49999999999979,14.813,1.247,12.4,1.98,8.19,18.6,2.466,0.5705,0.249,0.216,0.0326,0.0441,0.1395,3.18,1
666.0,454.7,9.05,137.25,77.126,24.287,28.2,2.11,50.5,79.5,10.875,0.7365,0.411,0.24,0.131,0.1035,0.201,0.3605,2
333.8,226.5,8.71,42.69999999999998,57.952,4.861,11.2,1.92,19.0,37.1,52.267,0.51,0.295,0.2785,0.0357,0.0418,0.1105,0.1515,1
328.7,223.1,8.47,50.32500000000003,57.491,5.054,10.1,1.34,19.0,35.9,53.312,0.518,0.182,0.2245,0.0357,0.0409,0.0937,0.1215,1
669.0,449.0,7.87,70.15000000000006,68.718,13.31,28.4,1.42,35.2,66.9,79.89,0.7385,0.389,0.28,0.0766,0.0985,0.157,0.0909,2
887.0,607.0,8.2,198.25000000000003,141.747,14.182,59.6,0.494,54.0,74.5,42.943,1.04,0.538,0.3385,0.1295,0.1775,0.2625,0.0751,2
1534.0,891.0,7.54,222.64999999999986,204.283,27.205,71.8,0.4695,74.0,97.4,31.276,1.13,0.718,0.4245,0.1855,0.2015,0.284,0.122,2
1174.0,761.0,7.51,274.4999999999998,138.458,21.448,56.7,0.5125,50.9,89.0,52.109,0.9965,0.518,0.408,0.172,0.169,0.2595,0.126,2
1103.0,701.0,7.87,266.8749999999999,125.505,19.739,49.6,0.8985,54.4,84.7,66.188,0.9415,0.572,0.3135,0.149,0.1565,0.19,0.0749,2
1156.0,702.0,7.81,163.78499999999994,124.158,19.761,49.2,0.896,54.5,87.5,64.735,0.9435,0.504,0.39,0.1455,0.1525,0.226,0.1705,2
4359.0,2804.0,7.1,45.75000000000021,1282.145,167.169,851.0,1.78,4.11,116.0,6.209,4.73,1.26,0.903,0.4685,0.789,0.6445,0.476,2
3445.0,2236.0,7.32,33.55,1016.38,115.302,649.0,1.44,3.81,110.0,6.246,3.97,1.06,0.9105,0.402,0.67,0.5755,0.4555,2
1305.0,883.0,6.5,184.52499999999998,196.368,23.328,74.3,2.67,103.0,79.0,8.481,1.17,0.614,0.4735,0.2295,0.254,0.2695,0.1305,2
1198.0,757.0,7.4,138.77500000000003,185.721,16.63,68.3,1.08,53.3,85.4,64.441,1.12,0.523,0.4885,0.1675,0.1955,0.2295,0.1275,2
5206.0,3130.0,7.16,65.57500000000002,1399.8,196.79,851.0,1.98,7.77,115.0,6457.0,5.18,1.31,0.997,0.525,0.874,0.7,0.559,2
1439.0,947.0,6.65,225.69999999999996,255.678,26.629,649.0,1.46,55.9,96.4,7.033,1.19,0.565,0.5545,0.182,0.213,0.2455,0.1295,2
1741.0,1152.0,6.24,215.93999999999997,325.134,57.243,65.1,4.79,101.0,99.3,28.004,1.09,0.671,0.3905,0.21,0.29,0.261,4.82,2
1040.0,681.0,6.54,221.12499999999994,147.591,50.78,87.5,-0.1245,56.5,63.5,12.28,1.22,0.54,0.3925,0.2105,0.2765,0.283,1.74,2
1498.0,991.0,6.34,260.16499999999985,217.0,52.932,92.4,1.21,101.0,84.3,46.098,1.27,0.65,0.406,0.224,0.2455,0.297,0.23,2
2023.0,1330.0,5.59,216.55000000000027,418.99,65.084,180.0,0.981,200.0,80.6,74.28,1.86,0.965,0.4385,0.372,0.3575,0.444,0.247,2
1405.0,900.0,6.83,102.17499999999997,325.333,79.312,66.1,1.08,2.61,82.2,10.883,1.11,0.375,0.3455,0.0729,0.1755,0.1815,0.066,2
157.1,113.6,7.63,93.0249999999999,10.629,1.662,21.5,1.65,10.2,10.7,4.278,0.6055,0.134,0.2165,0.0237,0.0718,0.0752,0.6715,1
103.0,72.4,8.27,77.77499999999999,8.808,0.466,10.3,1.81,4.08,8.33,0.0,0.5205,0.145,0.228,0.012,0.2875,0.0776,1.62,1
86.5,62.1,8.23,59.47500000000004,7.689,0.547,7.43,1.97,4.21,8.01,1.66,0.467,0.153,0.1865,0.0,0.1485,0.0968,1.01,1
98.9,75.0,8.09,86.925,7.26,1.175,13.6,1.98,6.9,8.75,1.104,0.585,0.127,0.316,0.0302,0.0755,0.1012,0.4135,1
75.9,54.5,8.16,48.80000000000005,6.132,0.673,6.2,1.82,3.58,6.54,1.016,0.478,0.0933,0.21,0.4445,0.1385,0.1185,1.4,1
297.5,217.8,8.86,160.1250000000001,15.239,6.809,51.7,1.56,22.6,18.9,4.725,0.929,0.326,0.263,0.1065,0.3865,0.1775,0.691,2
503.0,363.8,6.89,28.975000000000023,111.819,2.527,20.2,4.35,44.5,33.9,81.762,0.6755,0.354,0.234,0.0984,0.0931,0.152,0.186,2
138.4,108.7,7.14,60.99999999999996,20.523,12.362,12.0,2.05,11.0,12.5,2.695,1.07,0.183,0.944,0.0481,0.0439,0.1002,0.0267,1
261.4,196.9,7.03,30.49999999999996,50.086,2.627,12.6,2.33,16.7,21.5,56.329,1.04,0.286,0.9435,0.0295,0.0603,0.1052,0.0151,2
461.6,340.2,7.34,114.3749999999998,69.438,15.483,107.0,1.97,20.6,24.9,9.02,1.62,0.381,1.21,0.151,0.2425,0.2065,0.3385,2
182.6,132.5,7.45,68.62499999999994,32.477,9.819,8.71,2.21,10.4,15.9,12.941,0.921,0.188,1.68,0.0323,0.7295,0.1125,0.0,2
136.6,115.4,7.74,47.27500000000008,35.848,1.834,8.53,1.11,7.86,16.9,3.298,0.6965,0.126,1.52,0.0455,0.21,0.1185,0.0833,1
709.0,489.0,7.46,183.00000000000017,87.664,9.491,85.3,1.94,34.2,54.0,4.476,1.23,0.528,0.521,0.175,0.2195,0.2545,0.271,2
519.0,350.0,7.91,42.70000000000001,85.762,26.581,27.9,1.77,33.4,27.1,13.603,0.738,0.286,0.361,0.1205,0.7065,0.129,0.382,2
